WTeam,LTeam,WLoc
Boston Celtics,Toronto Raptors,V
Philadelphia 76ers,Milwaukee Bucks,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Los Angeles Lakers,H
New Orleans Pelicans,Denver Nuggets,V
Detroit Pistons,Washington Wizards,V
New York Knicks,Brooklyn Nets,V
Dallas Mavericks,San Antonio Spurs,H
Memphis Grizzlies,Oklahoma City Thunder,V
Minnesota Timberwolves,Sacramento Kings,V
Utah Jazz,Portland Trail Blazers,H
Boston Celtics,Cleveland Cavaliers,V
Oklahoma City Thunder,Charlotte Hornets,V
Orlando Magic,Philadelphia 76ers,H
Milwaukee Bucks,Atlanta Hawks,V
Miami Heat,Indiana Pacers,H
Golden State Warriors,Phoenix Suns,H
Denver Nuggets,Memphis Grizzlies,V
Toronto Raptors,Boston Celtics,H
New Orleans Pelicans,Indiana Pacers,V
Chicago Bulls,Atlanta Hawks,V
Houston Rockets,Brooklyn Nets,H
Miami Heat,Philadelphia 76ers,H
Cleveland Cavaliers,Minnesota Timberwolves,V
New York Knicks,Washington Wizards,V
Dallas Mavericks,Golden State Warriors,H
Milwaukee Bucks,Orlando Magic,V
San Antonio Spurs,Detroit Pistons,H
Phoenix Suns,Sacramento Kings,H
Los Angeles Lakers,Portland Trail Blazers,V
Utah Jazz,Los Angeles Clippers,H
Oklahoma City Thunder,Toronto Raptors,V
Denver Nuggets,Sacramento Kings,V
Memphis Grizzlies,Charlotte Hornets,V
New Orleans Pelicans,Houston Rockets,V
Los Angeles Lakers,Dallas Mavericks,V
Atlanta Hawks,Orlando Magic,V
Washington Wizards,Miami Heat,V
Milwaukee Bucks,Chicago Bulls,V
Minnesota Timberwolves,Brooklyn Nets,V
Utah Jazz,Detroit Pistons,H
Phoenix Suns,Portland Trail Blazers,H
Boston Celtics,Charlotte Hornets,V
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Sacramento Kings,H
Houston Rockets,Denver Nuggets,H
San Antonio Spurs,Golden State Warriors,H
Toronto Raptors,Cleveland Cavaliers,H
Oklahoma City Thunder,Dallas Mavericks,V
Orlando Magic,Washington Wizards,H
New York Knicks,Portland Trail Blazers,V
Milwaukee Bucks,Minnesota Timberwolves,V
Los Angeles Lakers,Phoenix Suns,V
Charlotte Hornets,Cleveland Cavaliers,H
Denver Nuggets,Indiana Pacers,V
Miami Heat,Toronto Raptors,H
Utah Jazz,Chicago Bulls,H
Minnesota Timberwolves,Golden State Warriors,V
Dallas Mavericks,Brooklyn Nets,H
Oklahoma City Thunder,San Antonio Spurs,V
Sacramento Kings,Memphis Grizzlies,V
Los Angeles Clippers,Detroit Pistons,H
Boston Celtics,Atlanta Hawks,V
Orlando Magic,Miami Heat,H
Portland Trail Blazers,Washington Wizards,H
Houston Rockets,Philadelphia 76ers,H
Phoenix Suns,New York Knicks,H
Los Angeles Lakers,New Orleans Pelicans,V
Memphis Grizzlies,Los Angeles Clippers,V
Toronto Raptors,Brooklyn Nets,H
Utah Jazz,Orlando Magic,H
Atlanta Hawks,Indiana Pacers,V
Oklahoma City Thunder,Cleveland Cavaliers,V
Boston Celtics,Chicago Bulls,V
Washington Wizards,Denver Nuggets,V
Charlotte Hornets,Dallas Mavericks,H
Detroit Pistons,Golden State Warriors,V
Milwaukee Bucks,San Antonio Spurs,V
New Orleans Pelicans,Sacramento Kings,V
Los Angeles Clippers,New York Knicks,H
Miami Heat,Portland Trail Blazers,H
Minnesota Timberwolves,Cleveland Cavaliers,V
Memphis Grizzlies,Phoenix Suns,V
Los Angeles Lakers,Detroit Pistons,V
Indiana Pacers,Charlotte Hornets,H
Orlando Magic,Brooklyn Nets,H
Philadelphia 76ers,Oklahoma City Thunder,H
Washington Wizards,Boston Celtics,V
Denver Nuggets,Atlanta Hawks,V
Utah Jazz,New Orleans Pelicans,H
Dallas Mavericks,Chicago Bulls,H
San Antonio Spurs,Milwaukee Bucks,H
Sacramento Kings,Golden State Warriors,V
Detroit Pistons,Cleveland Cavaliers,V
Portland Trail Blazers,Toronto Raptors,H
Oklahoma City Thunder,Brooklyn Nets,V
Memphis Grizzlies,Minnesota Timberwolves,V
Sacramento Kings,Phoenix Suns,V
Los Angeles Lakers,New York Knicks,V
San Antonio Spurs,Boston Celtics,H
Toronto Raptors,Charlotte Hornets,H
Miami Heat,Indiana Pacers,H
Orlando Magic,Washington Wizards,H
Houston Rockets,Atlanta Hawks,H
Denver Nuggets,Dallas Mavericks,V
New Orleans Pelicans,Chicago Bulls,V
Utah Jazz,New York Knicks,H
Milwaukee Bucks,Golden State Warriors,V
Cleveland Cavaliers,Detroit Pistons,V
Philadelphia 76ers,Boston Celtics,H
Minnesota Timberwolves,Portland Trail Blazers,V
Oklahoma City Thunder,Houston Rockets,V
Washington Wizards,Atlanta Hawks,V
New Orleans Pelicans,New York Knicks,V
Brooklyn Nets,Miami Heat,H
Indiana Pacers,Chicago Bulls,H
Memphis Grizzlies,San Antonio Spurs,V
Phoenix Suns,Orlando Magic,H
Utah Jazz,Charlotte Hornets,H
Los Angeles Lakers,Dallas Mavericks,V
Milwaukee Bucks,Sacramento Kings,V
Los Angeles Clippers,Golden State Warriors,H
Houston Rockets,Minnesota Timberwolves,H
Boston Celtics,New Orleans Pelicans,V
Chicago Bulls,Detroit Pistons,V
Los Angeles Lakers,Oklahoma City Thunder,V
Dallas Mavericks,Philadelphia 76ers,H
Cleveland Cavaliers,Denver Nuggets,V
Milwaukee Bucks,Portland Trail Blazers,V
New York Knicks,Miami Heat,V
Utah Jazz,Washington Wizards,H
Brooklyn Nets,Atlanta Hawks,H
Memphis Grizzlies,Golden State Warriors,V
San Antonio Spurs,Toronto Raptors,H
Denver Nuggets,Los Angeles Clippers,V
Phoenix Suns,Charlotte Hornets,H
New Orleans Pelicans,Detroit Pistons,V
Indiana Pacers,Philadelphia 76ers,H
Boston Celtics,Chicago Bulls,V
Oklahoma City Thunder,Minnesota Timberwolves,V
Portland Trail Blazers,Charlotte Hornets,H
Orlando Magic,Sacramento Kings,H
Los Angeles Lakers,Cleveland Cavaliers,V
Atlanta Hawks,Phoenix Suns,V
Utah Jazz,Brooklyn Nets,H
Memphis Grizzlies,Houston Rockets,V
Milwaukee Bucks,New York Knicks,V
Dallas Mavericks,Golden State Warriors,H
Los Angeles Clippers,Cleveland Cavaliers,H
Detroit Pistons,Boston Celtics,V
Philadelphia 76ers,Brooklyn Nets,H
Miami Heat,San Antonio Spurs,H
Chicago Bulls,Washington Wizards,V
Indiana Pacers,Minnesota Timberwolves,H
Toronto Raptors,Oklahoma City Thunder,H
Denver Nuggets,Charlotte Hornets,V
Portland Trail Blazers,Houston Rockets,H
Dallas Mavericks,Sacramento Kings,H
Orlando Magic,Los Angeles Lakers,H
Phoenix Suns,New York Knicks,H
Milwaukee Bucks,Boston Celtics,V
New Orleans Pelicans,Utah Jazz,V
Denver Nuggets,Golden State Warriors,V
Los Angeles Clippers,Orlando Magic,H
