Home,Away,Winner,Loser,WinProb
Sacramento Kings,Los Angeles Clippers,Los Angeles Clippers,Sacramento Kings,0.9763766567885434
Utah Jazz,Atlanta Hawks,Utah Jazz,Atlanta Hawks,0.9719671634877703
Oklahoma City Thunder,Chicago Bulls,Chicago Bulls,Oklahoma City Thunder,0.9739928897318064
Los Angeles Lakers,New Orleans Pelicans,New Orleans Pelicans,Los Angeles Lakers,0.9826267269005828
Cleveland Cavaliers,New York Knicks,New York Knicks,Cleveland Cavaliers,0.8779222301098898
Boston Celtics,Orlando Magic,Boston Celtics,Orlando Magic,0.9927657486272106
Milwaukee Bucks,Dallas Mavericks,Dallas Mavericks,Milwaukee Bucks,0.8891125127721228
San Antonio Spurs,Houston Rockets,San Antonio Spurs,Houston Rockets,0.8828938281310209
Brooklyn Nets,Orlando Magic,Brooklyn Nets,Orlando Magic,0.9885519794596757
Toronto Raptors,Charlotte Hornets,Toronto Raptors,Charlotte Hornets,0.9609973805048967
Memphis Grizzlies,Philadelphia 76ers,Philadelphia 76ers,Memphis Grizzlies,0.9981716638797111
Miami Heat,Detroit Pistons,Detroit Pistons,Miami Heat,0.5082734486206582
Portland Trail Blazers,Atlanta Hawks,Portland Trail Blazers,Atlanta Hawks,0.9261734961699509
Boston Celtics,New York Knicks,Boston Celtics,New York Knicks,0.8023323164496161
Dallas Mavericks,Chicago Bulls,Dallas Mavericks,Chicago Bulls,0.5546696519677707
Denver Nuggets,Utah Jazz,Utah Jazz,Denver Nuggets,0.5086416085834753
Sacramento Kings,New Orleans Pelicans,New Orleans Pelicans,Sacramento Kings,0.9997851294699568
Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Indiana Pacers,0.7364744532456009
Toronto Raptors,Dallas Mavericks,Toronto Raptors,Dallas Mavericks,0.931451694997275
Miami Heat,Detroit Pistons,Miami Heat,Detroit Pistons,0.5351681413843241
Chicago Bulls,Houston Rockets,Chicago Bulls,Houston Rockets,0.5288041592416733
Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,Golden State Warriors,0.8249473605255916
Memphis Grizzlies,Phoenix Suns,Phoenix Suns,Memphis Grizzlies,0.9592397906540673
Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,0.9965355717974059
Atlanta Hawks,Minnesota Timberwolves,Minnesota Timberwolves,Atlanta Hawks,0.764497508074834
New York Knicks,Orlando Magic,New York Knicks,Orlando Magic,0.9986735116072547
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,Brooklyn Nets,0.9924065478103414
Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,0.6513522005385458
Utah Jazz,New Orleans Pelicans,New Orleans Pelicans,Utah Jazz,0.5533891967827455
Los Angeles Clippers,Sacramento Kings,Sacramento Kings,Los Angeles Clippers,0.8953742605513773
Cleveland Cavaliers,Brooklyn Nets,Brooklyn Nets,Cleveland Cavaliers,0.9996564259328329
Indiana Pacers,Dallas Mavericks,Indiana Pacers,Dallas Mavericks,0.5884905540931488
Philadelphia 76ers,Boston Celtics,Boston Celtics,Philadelphia 76ers,0.7812908211457352
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Detroit Pistons,0.6620946432974381
Toronto Raptors,Miami Heat,Toronto Raptors,Miami Heat,0.8857460366355883
Minnesota Timberwolves,Orlando Magic,Minnesota Timberwolves,Orlando Magic,0.9020440444062627
Houston Rockets,Phoenix Suns,Phoenix Suns,Houston Rockets,0.9534949714188699
Golden State Warriors,San Antonio Spurs,Golden State Warriors,San Antonio Spurs,0.9720450527208139
Utah Jazz,New Orleans Pelicans,New Orleans Pelicans,Utah Jazz,0.5144390271198959
Golden State Warriors,New York Knicks,Golden State Warriors,New York Knicks,0.9483363577046372
Milwaukee Bucks,Los Angeles Lakers,Los Angeles Lakers,Milwaukee Bucks,0.9822949728829485
Charlotte Hornets,Chicago Bulls,Chicago Bulls,Charlotte Hornets,0.6381613974412671
Detroit Pistons,Houston Rockets,Houston Rockets,Detroit Pistons,0.6353574979042417
Indiana Pacers,Orlando Magic,Indiana Pacers,Orlando Magic,0.9901195838174688
Cleveland Cavaliers,Brooklyn Nets,Brooklyn Nets,Cleveland Cavaliers,0.9996051314045205
Philadelphia 76ers,Boston Celtics,Boston Celtics,Philadelphia 76ers,0.7565768659344203
Toronto Raptors,Miami Heat,Toronto Raptors,Miami Heat,0.8718599517202069
Minnesota Timberwolves,Atlanta Hawks,Atlanta Hawks,Minnesota Timberwolves,0.9448687588863545
San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,0.738065130744706
Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder,0.9807343701619344
Phoenix Suns,Denver Nuggets,Denver Nuggets,Phoenix Suns,0.7969278342459098
Sacramento Kings,New York Knicks,New York Knicks,Sacramento Kings,0.9338331783449934
Minnesota Timberwolves,New Orleans Pelicans,New Orleans Pelicans,Minnesota Timberwolves,0.9967722227973288
Utah Jazz,Golden State Warriors,Utah Jazz,Golden State Warriors,0.9929222074016666
Phoenix Suns,Denver Nuggets,Denver Nuggets,Phoenix Suns,0.768862747005525
Dallas Mavericks,Houston Rockets,Dallas Mavericks,Houston Rockets,0.6265430219270312
Brooklyn Nets,Miami Heat,Miami Heat,Brooklyn Nets,0.7351154033019995
Detroit Pistons,Philadelphia 76ers,Philadelphia 76ers,Detroit Pistons,0.9952440353966833
Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,Chicago Bulls,0.864755790127728
San Antonio Spurs,Washington Wizards,Washington Wizards,San Antonio Spurs,0.5102650318998802
Indiana Pacers,Toronto Raptors,Indiana Pacers,Toronto Raptors,0.9744094090343852
Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder,0.97898348514818
Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,Boston Celtics,0.6776312237494456
Orlando Magic,Charlotte Hornets,Charlotte Hornets,Orlando Magic,0.5800481805935362
Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,0.9302452387682031
Portland Trail Blazers,New York Knicks,Portland Trail Blazers,New York Knicks,0.9920994471087898
Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,Golden State Warriors,0.5299329809418876
Dallas Mavericks,Denver Nuggets,Denver Nuggets,Dallas Mavericks,0.9237631555163289
Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,0.9852829234804613
Cleveland Cavaliers,Los Angeles Lakers,Los Angeles Lakers,Cleveland Cavaliers,0.9940424131909213
Chicago Bulls,Boston Celtics,Boston Celtics,Chicago Bulls,0.7253422602803523
Orlando Magic,Charlotte Hornets,Charlotte Hornets,Orlando Magic,0.5565742100324936
Indiana Pacers,Toronto Raptors,Indiana Pacers,Toronto Raptors,0.9702003215665655
Detroit Pistons,Philadelphia 76ers,Philadelphia 76ers,Detroit Pistons,0.9947234233299898
Brooklyn Nets,Miami Heat,Miami Heat,Brooklyn Nets,0.7089379878268847
Atlanta Hawks,Los Angeles Clippers,Atlanta Hawks,Los Angeles Clippers,0.799666118700165
Houston Rockets,Washington Wizards,Washington Wizards,Houston Rockets,0.9638611695032806
Utah Jazz,New York Knicks,Utah Jazz,New York Knicks,0.9947665916825075
Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,0.5178741265948084
Utah Jazz,Dallas Mavericks,Utah Jazz,Dallas Mavericks,0.9654339085441762
New Orleans Pelicans,Washington Wizards,Washington Wizards,New Orleans Pelicans,0.9923111598764818
San Antonio Spurs,Boston Celtics,San Antonio Spurs,Boston Celtics,0.6280358599361952
Toronto Raptors,Milwaukee Bucks,Milwaukee Bucks,Toronto Raptors,0.9159210159669532
Phoenix Suns,Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,0.9284345185533962
Miami Heat,Denver Nuggets,Denver Nuggets,Miami Heat,0.9494323498411453
Atlanta Hawks,Brooklyn Nets,Brooklyn Nets,Atlanta Hawks,0.9785542391325406
Orlando Magic,Sacramento Kings,Sacramento Kings,Orlando Magic,0.9975915270205338
Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,0.9823039481932152
Charlotte Hornets,Indiana Pacers,Indiana Pacers,Charlotte Hornets,0.7540248481809574
Philadelphia 76ers,Los Angeles Lakers,Los Angeles Lakers,Philadelphia 76ers,0.87435972529159
Houston Rockets,Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,0.8603368094300358
Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,Detroit Pistons,0.9076537841722608
Miami Heat,Los Angeles Clippers,Los Angeles Clippers,Miami Heat,0.5242412000622987
Phoenix Suns,Golden State Warriors,Phoenix Suns,Golden State Warriors,0.9354296737074779
San Antonio Spurs,Denver Nuggets,Denver Nuggets,San Antonio Spurs,0.7217263380991439
Orlando Magic,Los Angeles Clippers,Los Angeles Clippers,Orlando Magic,0.6315936186448383
Oklahoma City Thunder,Brooklyn Nets,Brooklyn Nets,Oklahoma City Thunder,0.9996186159100346
Minnesota Timberwolves,Philadelphia 76ers,Philadelphia 76ers,Minnesota Timberwolves,0.9986124617815029
Charlotte Hornets,Indiana Pacers,Indiana Pacers,Charlotte Hornets,0.7358469877920853
New York Knicks,Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,0.7070379956963987
New Orleans Pelicans,Milwaukee Bucks,Milwaukee Bucks,New Orleans Pelicans,0.9997843035521697
Washington Wizards,Atlanta Hawks,Atlanta Hawks,Washington Wizards,0.8276030680979334
